WT_VALUE01,WT_VALUE02,WT_VALUE03,CR_VALUE01,CR_VALUE02,CR_VALUE03,REPLAY_ATTACK,COMMAND_INJECTION,NORMAL_STATE
373,305,300,0,1,1,1,0,0
290,388,280,1,1,1,1,0,0
270,265,378,1,1,1,1,0,0
250,246,243,1,0,0,1,0,0
240,240,241,1,0,0,1,0,0
354,330,325,0,1,1,1,0,0
315,344,305,1,1,1,1,0,0
295,290,319,1,1,1,1,0,0
275,270,265,1,1,1,1,0,0
255,250,246,1,1,0,1,0,0
275,240,240,0,0,0,1,0,0
243,280,330,0,0,0,1,0,0
320,315,307,0,0,0,1,0,0
